time,temperature_2m,relative_humidity_2m,precipitation
2026-08-19 00:00:00,21.9,89,0.0
2026-08-19 01:00:00,21.6,90,0.0
2026-08-19 02:00:00,21.2,92,0.0
2026-08-19 03:00:00,20.9,94,0.0
2026-08-19 04:00:00,20.9,94,0.0
2026-08-19 05:00:00,21.9,93,0.0
2026-08-19 06:00:00,21.7,94,0.0
2026-08-19 07:00:00,23.1,86,0.0
2026-08-19 08:00:00,24.7,77,0.0
2026-08-19 09:00:00,25.3,72,0.0
2026-08-19 10:00:00,26.5,66,0.0
2026-08-19 11:00:00,27.4,62,0.0
2026-08-19 12:00:00,27.6,59,0.0
2026-08-19 13:00:00,28.2,57,0.1
2026-08-19 14:00:00,26.9,67,0.9
2026-08-19 15:00:00,27.9,58,0.0
2026-08-19 16:00:00,26.9,59,0.2
2026-08-19 17:00:00,25.7,68,0.1
2026-08-19 18:00:00,24.5,72,0.0
2026-08-19 19:00:00,23.4,77,0.0
2026-08-19 20:00:00,22.8,80,0.0
2026-08-19 21:00:00,22.7,81,0.0
2026-08-19 22:00:00,22.5,83,0.0
2026-08-19 23:00:00,22.3,85,0.0
2026-08-20 00:00:00,22.1,87,0.0
2026-08-20 01:00:00,21.9,89,0.0
2026-08-20 02:00:00,21.5,92,0.0
2026-08-20 03:00:00,21.4,93,0.0
2026-08-20 04:00:00,20.9,95,0.0
2026-08-20 05:00:00,20.9,95,0.0
2026-08-20 06:00:00,21.0,95,0.0
2026-08-20 07:00:00,22.2,89,0.0
2026-08-20 08:00:00,24.1,79,0.1
2026-08-20 09:00:00,25.9,72,0.1
2026-08-20 10:00:00,27.0,66,0.0
2026-08-20 11:00:00,27.7,62,0.0
2026-08-20 12:00:00,29.1,57,0.2
2026-08-20 13:00:00,29.6,52,0.0
2026-08-20 14:00:00,29.7,51,0.0
2026-08-20 15:00:00,29.2,51,0.0
2026-08-20 16:00:00,27.6,57,0.5
2026-08-20 17:00:00,26.7,60,0.0
2026-08-20 18:00:00,25.2,66,0.0
2026-08-20 19:00:00,23.9,75,0.0
2026-08-20 20:00:00,23.1,80,0.0
2026-08-20 21:00:00,22.5,84,0.0
2026-08-20 22:00:00,22.0,87,0.0
2026-08-20 23:00:00,22.1,86,0.0
2026-08-21 00:00:00,22.1,87,0.0
2026-08-21 01:00:00,21.9,88,0.0
2026-08-21 02:00:00,22.0,86,0.0
2026-08-21 03:00:00,22.0,86,0.0
2026-08-21 04:00:00,21.5,89,0.0
2026-08-21 05:00:00,21.6,89,0.0
2026-08-21 06:00:00,21.1,93,0.0
2026-08-21 07:00:00,22.2,87,0.0
2026-08-21 08:00:00,23.8,77,0.0
2026-08-21 09:00:00,25.7,65,0.1
2026-08-21 10:00:00,27.5,56,0.0
2026-08-21 11:00:00,28.5,51,0.0
2026-08-21 12:00:00,29.3,51,0.3
2026-08-21 13:00:00,30.1,47,0.0
2026-08-21 14:00:00,30.0,47,0.0
2026-08-21 15:00:00,29.5,49,0.0
2026-08-21 16:00:00,27.9,54,0.0
2026-08-21 17:00:00,26.6,60,0.0
2026-08-21 18:00:00,24.5,74,0.0
2026-08-21 19:00:00,23.0,81,0.0
2026-08-21 20:00:00,22.1,84,0.0
2026-08-21 21:00:00,21.3,88,0.0
2026-08-21 22:00:00,20.8,91,0.0
2026-08-21 23:00:00,20.6,93,0.0
2026-08-22 00:00:00,20.5,94,0.0
2026-08-22 01:00:00,21.1,90,0.0
2026-08-22 02:00:00,21.3,88,0.0
2026-08-22 03:00:00,21.4,88,0.0
2026-08-22 04:00:00,21.3,88,0.0
2026-08-22 05:00:00,21.3,88,0.0
2026-08-22 06:00:00,21.2,89,0.0
2026-08-22 07:00:00,22.0,85,0.0
2026-08-22 08:00:00,23.9,74,0.0
2026-08-22 09:00:00,25.3,69,0.1
2026-08-22 10:00:00,25.9,67,0.1
2026-08-22 11:00:00,27.6,60,0.4
2026-08-22 12:00:00,28.7,58,0.3
2026-08-22 13:00:00,29.3,55,0.1
2026-08-22 14:00:00,26.5,67,0.8
2026-08-22 15:00:00,27.9,60,0.0
2026-08-22 16:00:00,26.9,61,0.4
2026-08-22 17:00:00,26.1,68,0.2
2026-08-22 18:00:00,24.9,71,0.0
2026-08-22 19:00:00,23.2,81,0.0
2026-08-22 20:00:00,22.2,87,0.0
2026-08-22 21:00:00,21.7,90,0.0
2026-08-22 22:00:00,21.4,91,0.0
2026-08-22 23:00:00,21.4,91,0.0
2026-08-23 00:00:00,21.6,90,0.0
2026-08-23 01:00:00,21.3,91,0.0
2026-08-23 02:00:00,21.5,89,0.0
2026-08-23 03:00:00,20.9,93,0.0
2026-08-23 04:00:00,20.6,94,0.0
2026-08-23 05:00:00,20.5,94,0.0
2026-08-23 06:00:00,21.3,90,0.0
2026-08-23 07:00:00,22.4,85,0.0
2026-08-23 08:00:00,23.7,78,0.0
2026-08-23 09:00:00,25.2,71,0.2
2026-08-23 10:00:00,26.7,64,0.2
2026-08-23 11:00:00,27.8,59,0.2
2026-08-23 12:00:00,28.4,57,0.4
2026-08-23 13:00:00,28.6,56,0.4
2026-08-23 14:00:00,28.4,58,0.4
2026-08-23 15:00:00,27.5,62,0.5
2026-08-23 16:00:00,26.2,68,0.5
2026-08-23 17:00:00,25.0,74,0.5
2026-08-23 18:00:00,23.9,80,0.1
2026-08-23 19:00:00,23.0,85,0.1
2026-08-23 20:00:00,22.2,89,0.1
2026-08-23 21:00:00,21.8,91,0.0
2026-08-23 22:00:00,21.7,90,0.0
2026-08-23 23:00:00,21.5,90,0.0
2026-08-24 00:00:00,21.2,91,0.0
2026-08-24 01:00:00,20.9,92,0.0
2026-08-24 02:00:00,20.7,93,0.0
2026-08-24 03:00:00,20.7,93,0.0
2026-08-24 04:00:00,20.9,92,0.0
2026-08-24 05:00:00,21.3,90,0.0
2026-08-24 06:00:00,21.9,87,0.0
2026-08-24 07:00:00,22.6,83,0.0
2026-08-24 08:00:00,23.5,79,0.0
2026-08-24 09:00:00,24.7,73,0.1
2026-08-24 10:00:00,25.9,67,0.1
2026-08-24 11:00:00,26.8,63,0.1
2026-08-24 12:00:00,27.0,64,0.3
2026-08-24 13:00:00,26.7,66,0.3
2026-08-24 14:00:00,26.3,69,0.3
2026-08-24 15:00:00,25.7,72,1.1
2026-08-24 16:00:00,25.0,76,1.1
2026-08-24 17:00:00,24.2,79,1.1
2026-08-24 18:00:00,23.4,83,0.0
2026-08-24 19:00:00,22.6,86,0.0
2026-08-24 20:00:00,22.0,89,0.0
2026-08-24 21:00:00,21.6,91,0.0
2026-08-24 22:00:00,21.3,93,0.0
2026-08-24 23:00:00,21.2,93,0.0
2026-08-25 00:00:00,21.3,93,0.0
2026-08-25 01:00:00,21.4,91,0.0
2026-08-25 02:00:00,21.6,90,0.0
2026-08-25 03:00:00,21.5,90,0.0
2026-08-25 04:00:00,21.4,90,0.0
2026-08-25 05:00:00,21.5,89,0.0
2026-08-25 06:00:00,22.0,86,0.0
2026-08-25 07:00:00,22.8,82,0.0
2026-08-25 08:00:00,23.6,78,0.0
2026-08-25 09:00:00,24.5,73,0.1
2026-08-25 10:00:00,25.6,68,0.1
2026-08-25 11:00:00,26.3,65,0.1
2026-08-25 12:00:00,27.9,60,0.5
2026-08-25 13:00:00,27.7,61,0.5
2026-08-25 14:00:00,27.2,63,0.5
2026-08-25 15:00:00,26.5,66,0.5
2026-08-25 16:00:00,25.8,69,0.5
2026-08-25 17:00:00,25.2,72,0.5
2026-08-25 18:00:00,24.6,74,0.0
2026-08-25 19:00:00,24.0,77,0.0
